"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2019064890","02","99","2290 BUTLER PIKE","","PLYMOUTH MTG","PA","19462","DANELLA RENTAL SYSTEMS INC.","7243447246","056000","","","","","N","","","","","","N","","?","","","","","","2","00110987","04"
"2019069258","03","4","114 SPADE RD","","ROCHESTER","PA","15074","SCOBE WATER SER & TRUCKING INC","7247747610","073280","","","","","N","","","","","","N","","","","","","","","2","00379559","04"
"2019100590","03","3","232 MILLFORD LANE","","BLOOMINGDALE","IL","60108","NAFTA FREIGHT INC","6308939732","080000","","","","","N","","","","","","N","","","","","","","","2","02170295","08"
"2019110890","03","6","239 GREENWOOD ROAD","","ALTOONA","PA","16602","ALLEGHENY TRUCK INC.","8149443505","033000","","","","","N","","","","","","N","","00118057","","","","","","1","00333667","04"
"2019026166","99","99","3200 INDUSTRIES RD","","RICHMOND","IN","47374","XPO","8447425976","","","","","","N","","","","","","N","","","","","","","","2","00241829","06"
"2019023794","99","0","924 MAIN ST","","HARWICK","PA","15049","JOHN PAUL LESTER DBA LESTER TREE","9999999999","019500","","","","","N","","","","","","N","","","","","","","","1","","02"
"2019022781","05","99","125 WALCOTT DR","","GIBSONIA","PA","15044","DELLER PROFESSIONAL SERVICES INC","4128743907","080000","","","","","N","","","","","","N","","","","","","","","1","02801758","08"
"2019064783","03","1","111 KELSO RD","","MCDONALD","PA","15057","WOODWASTE RECYCLING LLC","9999999999","080000","","","","","N","","","","","","N","","","","","","","","1","00899783","08"
"2019064783","03","99","3690 ROUTE 30","","LATROBE","PA","15650","FOX &JAMES INC DBA FJ LEASING","9999999999","080000","3","","","","Y","1","","","","","N","","","","","","","","2","00811465","08"
"2019008334","03","2","47 BUCKLER RD","","ROULETTE","PA","16746","BUCKLER TRANSPORTATION INC","8145441400","080000","","","","","N","","","","","","N","","","","","","","","2","00474158","04"
"2019015601","99","8","99 BILOTT AVE","","NORTH HUNTINGDON","PA","15642","FIRST STUDENT INC","8552723222","010000","","","","","N","","","","","","N","","","","","","","","2","00354406","10"
"2019039953","02","1","8601 OLD PERRY HIGHWAY","","PITTSBURGH","PA","15237","CENTURY INTERIORS INC","4123667720","011500","","","","","N","","","","","","N","","NONE","","","","","","2","99999999","03"
"2019021702","03","1","390 LONG RUN RD","","AVONMORE","PA","15618","LLS LEASING","7247260500","073280","","","","","N","","","","","","N","","","","","","","","1","02485251","04"
"2019124550","03","99","11815 W BRADLEY RD","","MILWAUKEE","WI","53224","JACOBUS ENERGY LLC","5133109758","","0","","","","Y","2","","","","","N","","1993","","","","","","2","01139404","08"
"2019004518","01","1","1821 BEAVER AVE","","PITTSBURGH","PA","15233-2209","UNITED PARCEL SERVICE INC","7176975721","022100","","","","","N","","","","","","N","","","","","","","","1","00021800","09"
"2019064810","03","6","2250 PILOT KNOB RD","","MENDOTA HEIGHTS","MN","55120","RESTAURANT TECH INC","8779457378","049000","","","","","N","","","","","","N","","","","","","","","2","00868454","00"
"2019088377","02","8","120 EVERGREEN AVE","","PITTSBURGH","PA","15209","ABC TRANSIT","4128213000","999999","","","","","N","","","","","","N","","","","","","","","1","","11"
"2019005000","05","1","11415  CITRA CIR APT 106","","WINDMERE","FL","34786","EAGLE EXPRESS LLC","7866170065","080000","","","","","N","","","","","","N","","","","","","","","1","02511541","08"
"2019094578","05","1","4700 NW 2ND AVE #403","","BOCA RATON","FL","33431-4154","NEW BELGRADE LOISTICS LLC","5617019400","080000","","","","","N","","","","","","N","","","","","","","","1","02468544","08"
"2019049101","04","7","121 BRICKYARD RD","","MARS","PA","16046","VOGEL DISPOSAL SERVICE","7246251511","073280","","","","","N","","","","","","N","","A94955","","","","","","2","00290052","04"
"2019019287","02","8","2235 BEAVER AVE.","","PITTSBURGH","PA","15233","PORT AUTHORITY- ALLEGHENY CO.","4125665214","026000","","","","","N","","","","","","N","","A-00976060","","","","","","1","","11"
"2020110956","03","7","4859 STATE ROUTE 51 N","","ROSTRAVER","PA","15012","BIGS SANITATION INC","7243794331","058400","","","","","N","","","","","","N","","","","","","","","3","02099338","04"
"2019122454","03","0","275 MORGANTOWN RD","","READING","PA","19607","PENSKE TRUCK LEASING CO","7179621715","080000","","","","","N","","","","","","N","","","","","","","","1","00327574","04"
"2019033706","99","1","971 BRIARDALE RD","","HARRISBURG","PA","17109","RYDER TRUCK RENTAL LT","9999999999","014500","","","","","N","","","","","","N","","","","","","","","1","","02"
"2019033058","02","1","971 BRIARSDALE RD","","HARRISBURG","PA","17109","RYDER","9999999999","025999","","","","","N","","","","","","N","","","","","","","","1","","03"
"2019101248","02","1","15034 WARWICK BOULEVARD","","NEWPORT NEWS","VA","23608","BUDGET RENTAL TRUCK LLC.","7578865832","999999","","","","","N","","","","","","N","","","","","","","","1","01092543","03"
"2019038901","05","0","3887 NORTH US HWY 52","","LEBANON","IN","46052","USA TRUCK INC","8006432530","080000","","","","","N","","","","","","N","","","","","","","","1","00213754","08"
"2019097296","05","3","16 SMOOTHROACK TRAIL","","BRAMPTON","ON","L6R0S2","ALL DAYS TRANSPORT LTD","6475000061","","","","","","N","","","","","","N","","905518","","","","","","1","02584539","08"
"2019037051","02","8","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY ALLEGHENY COUNTY","4124422000","035719","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2019057183","01","8","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY COUN","4124422000","","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2019048291","01","8","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CNTY","4124222000","999999","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2019034125","02","8","573 BRODDOCK AVE. KEYSTONE COM","","E PITTSBURGH","PA","15112","PRN TRANSIT","8008608222","999999","","","","","N","","","","","","N","","","","","","","","2","","10"
"2019027543","99","1","299 RIDGE RD","","VALENCIA","PA","16059","TECHNOLOGY 4 U INC DBA BIG JOE","9999999999","019500","","","","","","","","","","","N","","","","","","","","2","","09"
"2019069186","02","8","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY COUN","4124422000","026000","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2019123993","05","2","PO BOX 445","","SWEDESBORO","NJ","44004","AMERICAN TANK LEASING","8888849700","080000","","","","","N","","","","","","N","","","","","","","","1","00888666","08"
"2019046693","02","99","1623 MIDDLE ROAD EXT","","GIBSONIA","PA","15044","ROADSAFE TRAFFIC SYSTEMS","4127678830","007000","","","","","N","","","","","","N","","717663","","","","","","1","","02"
"2019123629","03","3","240 GIBRALTAR RD, STE 200","","HORSHAM","PA","19044","PACCAR FINANCIAL CORP","9999999999","080000","","","","","N","","","","","","N","","","","","","","","1","00008515","08"
"2019117522","05","1","25563 PALO CEDRO DR","","MORENO VALLEY","CA","92551","BRICENOS FREIGHT TRANSPORT LLC","9166577971","080000","","","","","N","","","","","","N","","","","","","","","1","02286018","08"
"2019117522","02","99","310 ALPHA DRIVE","","PITTSBURGH","PA","15238","THE A G MAURO COMPANY","4127826600","019500","","","","","N","","","","","","N","","","","","","","","3","00579711","02"
"2019120921","02","1","300 S. MAIN ST","","PITTSBURGH","PA","15215","FMS CONSTRUCTION","4127821170","012300","","","","","N","","","","","","N","","","","","","","","1","00429801","03"
"2019022451","02","4","3344 CHURCHVIEW AVE","","PITTSBURGH","PA","15227","BOROUGH OF BALDWIN","9999999999","999999","","","","","N","","","","","","N","","","","","","","","1","","03"
"2019094525","02","0","110 LENZNER CT","","SEWICKLEY PA","PA","15143","LENZNER COACH LINES","8003422349","","","","","","N","","","","","","N","","A00112590","","","","","","1","00583785","13"
"2019047246","02","8","2235 BEAVER AVE","","PITTSBURGH","PA","15235","PORT AUTHORITY OF ALLEGHENY COUN","4124422000","","","","","","N","","","","","","","","A-00976060","","","","","","2","","11"
"2019010577","03","1","7504 KNOLL ACRES RD.","","HANOVER","MD","21076","G AND C TRUCKING LLC","9175437235","080000","","","","","N","","","","","","N","","","","","","","","1","03112010","04"
"2019010577","02","3","4001 LEADENHALL RD.","","MT. LAUREL","NJ","08054","UNITED RENTALS 1800URRENTS","8778747475","080000","","","","","N","","","","","","N","","","","","","","","2","00899748","03"
"2019036113","03","99","715 WEST 172ND STREET","","SOUTH HOLLAND","IL","60473","EAGLE EXPRESS LINES INC--FIRM","7083338400","999999","","","","","N","","","","","","U","","","","","","","","3","","08"
"2019104154","04","4","6592 RT 119 HWY S","","BLAIRSVILLE","PA","15717","DAVIS TRANSPORT INC","7244799008","073280","","","","","N","","","","","","N","","109007","","","","","","2","01257764","04"
"2019004048","02","1","EQUIP 635-3027","","HARRISBURG","PA","17120","PENNDOT","7174125300","013000","","","","","N","","","","","","N","","","","","","","","2","99999999","03"
"2019076855","03","0","1000 FED EX DR","","MOON TWP","PA","15108","FED EX","4127478482","080000","","","","","N","","","","","","N","","","","","","","","1","02894022","07"
"2019076855","05","99","10 MAIN ST STE 112","","WOODBRIDGE","NJ","07095","AMHERST LOGISTICS","7322046457","080000","","","","","N","","","","","","N","","","","","","","","2","02894022","08"
"2019042789","04","4","384 OLD CURRY HOLLOW RD","","PITTSBURGH","PA","15236","POSTY TRUCKING COMPANY","4128922525","073280","","","","","N","","","","","","N","","A-00100443","","","","","","3","02083481","04"
"2019009956","03","8","345 6TH AVE","","PITTSBURGH","PA","15222","PORT AUTHORITY","4124422000","026000","","","","","N","","","","","","","","A-00976060","","","","","","2","","11"
"2019039887","05","99","4201 GRAND AVE","","PGH","PA","15225","SOVEREIGN SERVICES INC DBA ALL","4123316074","","","","","","","","","","","","","","999999","","","","","","1","00999999","08"
"2019021188","99","8","109 HIDDEN OAK DR","","MARS","PA","16046","GYMAGIC BUS INC","9999999999","999999","","","","","N","","","","","","N","","","","","","","","2","","11"
"2019087371","02","8","2500 CLYDE AVE","","NORTH VERSAILLES","PA","15137","S&S TRANSIT","4128297627","000000","","","","","N","","","","","","N","","N/A","","","","","","2","","10"
"2019033391","02","8","2235 BEAVER AVE.","","PITTSBURGH","PA","15233","PORT AUTHORITY-ALLEGHENY CO.","4125665214","026000","","","","","N","","","","","","N","","A-00976060","","","","","","2","","11"
"2019094063","03","3","1477 S FRANKLIN RD","","INDIANAPOLIS","IN","46239","FBM LOGISTICS","3173528170","040000","","","","","N","","","","","","N","","","","","","","","2","00037617","04"
"2019069612","02","8","2235 BEAVER AV","","PITTSBURGH","PA","15233","PORT AUTHORITY","4124422000","","","","","","N","","","","","","","","A-00976060","","","","","","1","","11"
"2020016439","99","99","3314 3RD ST","","DUNBAR","PA","15431","RE TRUCKING INC","9999999999","065000","","","","","N","","","","","","N","","","","","","","","2","","08"
"2019130513","02","0","830 ROUTE 910","","CHESWICK","PA","15024","ABC TRANSIT INCORPORATED","4128289000","032000","","","","","N","","","","","","N","","6416227","","","","","","3","02420569","12"
"2019064822","03","4","501 INDIAN SPRINGS ROAD","","INDIANA","PA","15701","B B EQUIPTMENT LLC","7243542552","080000","","","","","N","","","","","","N","","A-8917110","","","","","","1","01855990","09"
"2019006977","05","1","55 MATCHETTE ROAD","","CLINTON","PA","15026","AIR GROUND EXPRESS","4125260847","080000","","","","","N","","","","","","N","","","","","","","","2","00259447","08"
"2019114376","03","1","3379 STAFFORD ST","","PITTSBURGH","PA","15204","WJ BEITLER CO","4127714204","016047","","","","","N","","","","","","N","","","","","","","","1","00335946","04"
